"Dialogs boxes","Caixas de diálogo"
"Enable in backend","Ativar no back-office"
"Enable in frontend","Ativar no front-office"
"Check browser version","Verificar a versão do navegador"
"Firefox 36+, Chrome 31+, Opera 19+, Edge 16+, Safari 9+ (checks even if the apijs is disabled).","Firefox 36+, Chrome 31+, Opera 19+, Edge 16+, Safari 9+ (verifica mesmo que apijs esteja desativado)."
"Remove cached images","Apagar as imagens em cache"
"When removing a <strong>product image</strong> or a <strong>product</strong>, a <strong>category image</strong> or a <strong>category</strong>, a <strong>wysiwyg image</strong> (remove even if the apijs is disabled).","Quando apagar uma imagem ou um produto."
"Automatically display the gallery tab","Afixar automaticamente o separador da galeria"
"When displaying the modification page of a product in the backend.","Ao afixar a página de modificação de um produto no back-office."
"Photo gallery","Galeria de fotos"
"Update on hover","Atualização com o rato"
"Main picture","Foto principal"
"Thumbnails","Miniaturas"
"INCOMPLETE MODULE INSTALLATION","INSTALACAO INCOMPLETA DO MODULO"
"There is conflict (<em>%s</em>).","Há um conflicto (<em lang=""en"">%s</em>)."
"[strong]Warning[/strong], the following files were not saved:","[strong]Cuidado[/strong], os seguintes ficheiros não foram registados:"
"[strong]However[/strong], the following files were successfully saved:","[strong]No entanto[/strong], os seguintes ficheiros foram registados corretamente:"
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>.","<strong>Cuidado:</strong> o seu navegador <strong>%s %s</strong> está desatualizado, por favor <a %s>atualize o seu navegador</a>."
"Add one or multiple files","Adicionar um ou vários ficheiros"
"PHP manual","Manual do PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","É importante notar que somente pelo o e-mail ser aceito para entrega, não significa que o e-mail alcancará o destino esperado."
"Example %d","Exemplo %d"
"Surprise!","Surpresa!"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Está a ver este vídeo sem extensão proprietário graças ao novo marcador [em]video[/em] integrado no linguagem [strong]HTML 5[/strong]."
"Website: %s","Sítio Web: %s"
"You can use one of the following lines to test this module on the frontend:","Pode usar uma das seguintes linhas para testar este módulo no front-office:"
"Directories size:","Tamanho dos diretórios:"
"(without cache)","(sem o cache)"
"Rename","Renomear"
"Label and Sort order","Etiqueta e ordem de classificação"
"The added or removed images are automatically saved.","As fotos adicionadas ou suprimidas são automaticamente registadas."
