"Dialogs boxes","Diálogos"
"Enable in backend","Activar en el back-office"
"Enable in frontend","Activar sobre el primer plano"
"Delete cached images","Borrar las imágenes almacenadas en caché"
"When deleting an image or a product.","Al borrar una imagen o un producto."
"Check browser version","Comprobar la versión del navegador"
"Chrome/Chromium 26+, Firefox 22+, <abbr title=""Internet Explorer"">IE</abbr>/Edge 11+, Opera 15+, Safari 6.1+ (checks even if the apijs is disabled).","Chrome/Chromium 26+, Firefox 22+, <abbr title=""Internet Explorer"">IE</abbr>/Edge 11+, Opera 15+, Safari 6.1+ (verifica incluso si el apijs esta desactivado)."
"Photo gallery","Galería de fotográfias"
"Update on hover","Actualización al pasar con el ratón"
"Main picture","Foto principale"
"Width","Ancho"
"Height","Alto"
"Thumbnails","Miniaturas"
"Back to Magento default gallery","Vuelta a la galería por defecto de Magento"
"See the apijs gallery","Ver la galería del apijs"
"Add a photo","Añadir una foto"
"%s kB","%s kB"
"%s MB","%s MB"
"%s GB","%s GB"
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>, otherwise you will encounter difficulties to browse this website.","<strong>Atención:</strong> su navegador <strong>%s %s</strong> es obsoleto, por favor <a %s>actualice su navegador</a>, si no, tendra dificultades para navegar en este sitio."
"You can't? Try to install <a %s>Chrome Frame</a> for Internet Explorer.","¿No puede? Intente instalar <a %s>Chrome Frame</a> para Internet Explorer."
"Documentation: <a %s>apijs</a>, <a %s>module</a>, <a %s>translation</a>","Documentación: <a %s>apijs</a>, <a %s>módulo</a>, <a %s>traducción</a>"
"State:","Estado:"
"Examples:","Ejemplos:"
"PHP manual","Manual de PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Es importante tener en cuenta que si el correo es aceptado para reparto, no quiere decir que el correo haya alcanzado el destino indicado."
"Surprise!","¡Sorpresa!"
"You are looking this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Está viendo este vídeo que no tiene una extensión reconocible gracias a la etiqueta del [em]vídeo[/em] incluida en el lenguaje [strong]HTML 5[/strong]."
"Website: %s","Sitio Web: %s"
"You can use one of the following lines to test this module on the frontend.","Usted puede utilizar una de las siguientes lineas para comprobar que este módulo se encuentra en primer plano."
"Directories size:","Tamaño de las carpetas:"
"(without the cache)","(sin la caché)"
"Label and Sort order","Etiqueta y Orden de clasificación"
"The added or deleted photos are automatically saved.<br /><strong>Warning:</strong> any modification on photos must be saved via the appropriate save button.","Las fotos añadidas o eliminadas se graban automáticamente.<br /><strong>Atención:</strong> todos los cambios en las imágenes deben ser registrados a través del botón guardar correspondiente."
"Use default value","Usar el valor por defecto"
"Download","Descargar"
