"Dialogs boxes","Diálogos"
"Enable in backend","Activar en el back-office"
"Enable in frontend","Activar sobre el front-office"
"Check browser version","Comprobar la versión del navegador"
"Firefox 27+, Chrome 29+, Opera 17+, Edge 14+, Safari 9+ (checks even if the apijs is disabled).","Firefox 27+, Chrome 29+, Opera 17+, Edge 14+, Safari 9+ (verifica incluso si el apijs esta desactivado)."
"Delete cached images","Borrar las imágenes almacenadas en caché"
"When deleting a product image or a product.","Al borrar una imagen o un producto."
"Automatically display the gallery tab","Mostrar automáticamente la pestaña de la galería"
"When displaying the modification page of a product in the backend.","En el momento de la publicación de la página de modificación de un producto en el back-office."
"Photo gallery","Galería de fotográfias"
"Update on hover","Actualización al pasar con el ratón"
"Main picture","Foto principale"
"Thumbnails","Miniaturas"
"Media Storage / CMS / Magento Admin","Almacenamiento de Medios / CMS / Administración de Magento"
"INCOMPLETE MODULE INSTALLATION","INSTALLACIÓN INCOMPLETA DEL MODULO"
"There is conflict (<em>%s</em>).","Hay un conflicto (<em lang=""en"">%s</em>)."
"[strong]Warning[/strong], the following files were not saved:","[strong]Atención[/strong], los siguientes archivos no se han registrado:"
"[strong]However[/strong], the following files were successfully saved:","[strong]Sin embargo[/strong], los siguientes archivos se han registrado correctamente:"
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>.","<strong>Atención:</strong> su navegador <strong>%s %s</strong> es obsoleto, por favor <a %s>actualice su navegador</a>."
"Add one or multiple files","Añadir uno o varios ficheros"
"PHP manual","Manual de PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Es importante tener en cuenta que si el correo es aceptado para su envío, no quiere decir que el correo haya alcanzado el destino indicado."
"Example %d","Ejemplo %d"
"Surprise!","¡Sorpresa!"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Está viendo este vídeo que no tiene una extensión reconocible gracias a la etiqueta del [em]vídeo[/em] incluida en el lenguaje [strong]HTML 5[/strong]."
"Website: %s","Sitio Web: %s"
"You can use one of the following lines to test this module on the frontend:","Usted puede utilizar una de las siguientes lineas para comprobar que este módulo se encuentra en front-office:"
"Directories size:","Tamaño de las carpetas:"
"(without cache)","(sin la caché)"
"Label and Sort order","Etiqueta y Orden de clasificación"
"The added or deleted images are automatically saved.","Las fotos añadidas o eliminadas se graban automáticamente."
