"Dialogs boxes","Dialogfelder"
"Enable in backend","Im Backend aktivieren"
"Enable in frontend","Für Frontend aktivieren"
"Delete cached images","Die gespeicherten Bilder löschen"
"When deleting an image or a product.","Als die Löschung von einem Bild oder eines Produktes erfolgt."
"Check browser version","Browser Version überprüfen"
"Chrome/Chromium 26+, Firefox 22+, <abbr title=""Internet Explorer"">IE</abbr>/Edge 11+, Opera 15+, Safari 6.1+ (checks even if the apijs is disabled).","Chrome/Chromium 26+, Firefox 22+, <abbr title=""Internet Explorer"">IE</abbr>/Edge 11+, Opera 15+, Safari 6.1+ (überprüft ebenfalls ob apijs aktiviert ist)."
"Photo gallery","Fotogalerie"
"Update on hover","Update bei Hover"
"Main picture","Hauptfoto"
"Width","Breite"
"Height","Höhe"
"Thumbnails","Thumbnails"
"Back to Magento default gallery","Zurück zur Standard Magento Galerie"
"See the apijs gallery","Apijs Galerie ansehen"
"Add a photo","Foto hinzufügen"
"%s kB","%s kB"
"%s MB","%s MB"
"%s GB","%s GB"
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>, otherwise you will encounter difficulties to browse this website.","<strong>Achtung:</strong> Ihr Browser <strong>%s %s</strong> ist veraltet. Bitte <a %s>laden Sie eine neue Version Ihres Browser runter</a>, ansonsten können Schwierigkeiten bei der Navigation auf dieser Internetseite entstehen."
"You can't? Try to install <a %s>Chrome Frame</a> for Internet Explorer.","Sie können dies nicht tun? Versuchen Sie <a %s>Chrome Frame</a> für Internet Explorer zu installieren."
"Documentation: <a %s>apijs</a>, <a %s>module</a>, <a %s>translation</a>","Dokumentation: <a %s>apijs</a>, <a %s>modul</a>, <a %s>übersetzung</a>"
"State:","Zustand:"
"Examples:","Beispiele:"
"PHP manual","PHP-Handbuch"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Dass eine E-Mail für den Versand akzeptiert wurde, bedeutet nicht, dass sie auch wirklich den gewünschten Empfänger erreichen wird."
"Surprise!","Überraschung!"
"You are looking this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Du siehst dieses Video ohne Erweiterung dank dem neuen [em]video[/em] Tag welches im Standard [strong]HTML 5[/strong] integriert ist."
"Website: %s","Website: %s"
"You can use one of the following lines to test this module on the frontend.","Sie können eine der folgenden Linien verwenden um dieses Modul im Frontend zu testen."
"Directories size:","Größe des Ordners:"
"(without the cache)","(ohne cache)"
"Label and Sort order","Beschriftung und Sortierreihenfolge"
"The added or deleted photos are automatically saved.<br /><strong>Warning:</strong> any modification on photos must be saved via the appropriate save button.","Die hinzugefügten oder gelöschten Bilder werden automatisch gespeichert.<br /><strong>Achtung:</strong> alle Veränderungen an den Bildern müssen über den Speichern Button der Bilder gespeichert werden."
"Use default value","Standardwert verwenden"
"Download","Download"
