"Dialogs boxes","Диалоги"
"Enable in backend","Добавить в backend"
"Enable in frontend","Добавить в frontend"
"Photo gallery","Фото галлерея"
"Update on hover","Обновлять при наведении"
"Main picture","Основное изображение"
"Width","Ширина"
"Height","Высота"
"Thumbnails","Миниатюры"
"Back to Magento default gallery","Вернуть в Magento галлерею по умолчанию"
"See the apijs gallery","Показать галлерею apijs"
"Add a photo","Добавить фотография"
"%s kB","%s kB"
"%s MB","%s MB"
"%s GB","%s GB"
"Documentation: <a %s>apijs</a>, <a %s>module</a>, <a %s>translation</a>","Документация: <a %s>apijs</a>, <a %s>плагин</a>, <a %s>перевод</a>"
"State:","Статус:"
"Examples:","Примеры:"
"PHP manual","Руководство PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Важно понимать, что если письмо отправлено, то это еще не значит, что оно было успешно доставлено."
"Surprise!","Сюрприз!"
"You are looking this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Смотрите видео без проприетарного расширения благодаря новому тегу [em]video[/em] включенному в состав [strong]HTML 5[/strong]."
"Website: %s","Вебсайт: %s"
"You can use one of the following lines to test this module on the frontend.","Вы можете использовать одну из этих строк для тестирования этого модуля на frontend."
"The added or deleted photos are automatically saved.<br /><strong>Warning:</strong> any modification on photos must be saved via the appropriate save button.","Добавленные или удаленные изображения сохраняются автоматически.<br /><strong>Внимание:</strong> все изменения внесенные в изображение должно быть сохранены нажатием кнопки сохранить."
"Use default value","Использовать значение по умолчанию"
"Download","Скачать"
