"Dialogs boxes","Caixas de diálogo"
"Enable in backend","Ativar no back office"
"Enable in frontend","Ativar no front office"
"Delete cached images","Suprimir as imagens em cache"
"When deleting an image or a product.","Quando suprimir uma imagem ou um produto"
"Check browser version","Verificar a versão do navegador"
"Chrome/Chromium 26+, Firefox 22+, <abbr title=""Internet Explorer"">IE</abbr>/Edge 11+, Opera 15+, Safari 6.1+ (checks even if the apijs is disabled).","Chrome/Chromium 26+, Firefox 22+, <abbr title=""Internet Explorer"">IE</abbr>/Edge 11+, Opera 15+, Safari 6.1+ (verifica mesmo que apijs esteja desativado)."
"Photo gallery","Galeria de fotos"
"Update on hover","Atualização com o rato"
"Main picture","Foto principal"
"Width","Largura"
"Height","Altura"
"Thumbnails","Miniaturas"
"Back to Magento default gallery","Volta para a galeria padrão de Magento"
"See the apijs gallery","Ver a galeria de apijs"
"Add a photo","Adicionar uma foto"
"%s kB","%s kB"
"%s MB","%s MB"
"%s GB","%s GB"
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>, otherwise you will encounter difficulties to browse this website.","<strong>Atenção:</strong> o seu navegador <strong>%s %s</strong> está desatualizado, por favor <a %s>atualize o seu navegador</a>, senão vai encontrar dificuldades para navegar neste site."
"You can't? Try to install <a %s>Chrome Frame</a> for Internet Explorer.","Não pode? Tente instalar <a %s>Chrome Frame</a> para Internet Explorer."
"Documentation: <a %s>apijs</a>, <a %s>module</a>, <a %s>translation</a>","Documentação: <a %s>apijs</a>, <a %s>módulo</a>, <a %s>tradução</a>"
"State:","Estado:"
"Examples:","Exemplos:"
"PHP manual","Manual do PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","É importante notar que somente pelo o email ser aceito para entrega, não significa que o e-mail alcancará o destino esperado."
"Surprise!","Surpresa!"
"You are looking this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Está a ver este vídeo sem extensão proprietário graças ao novo marcador [em]video[/em] integrado no linguagem [strong]HTML 5[/strong]."
"Website: %s","Sítio Web: %s"
"You can use one of the following lines to test this module on the frontend.","Pode usar uma das seguintes linhas para testar este módulo no front office."
"Directories size:","Tamanho dos diretórios:"
"(without the cache)","(sem o cache)"
"Label and Sort order","Etiqueta e ordem de classificação"
"The added or deleted photos are automatically saved.<br /><strong>Warning:</strong> any modification on photos must be saved via the appropriate save button.","As fotos adicionadas ou suprimidas são automaticamente registadas.<br /><strong>Atenção:</strong> qualquer alteração nas fotos deve ser registada através do botão guardar correspondente."
"Use default value","Utilizar o valor padrão"
"Download","Descarregar"
