"Dialogs boxes","Boîtes de dialogue"
"Enable in backend","Activer dans le back-office"
"Enable in frontend","Activer sur le front-office"
"Check browser version","Vérifier la version du navigateur"
"Firefox 27+, Chrome 29+, Opera 17+, Edge 14+, Safari 9+ (checks even if the apijs is disabled).","Firefox 27+, Chrome 29+, Opera 17+, Edge 14+, Safari 9+ (vérifie même si l'apijs est désactivé)."
"Delete cached images","Supprimer les images en cache"
"When deleting a product image or a product.","Lors de la suppression d'une image produit ou d'un produit."
"Remove store view id","Supprimer l'id de la vue magasin"
"For <strong>catalog/product/cache</strong> directory.","Pour le dossier <strong>catalog/product/cache</strong>."
"Automatically display the gallery tab","Afficher automatiquement l'onglet de la galerie"
"When displaying the modification page of a product in the backend.","Lors de l'affichage de la page de modification d'un produit dans le back-office."
"Photo gallery","Galerie photos"
"Update on hover","Mise à jour au survol"
"Main picture","Photo principale"
"Thumbnails","Miniatures"
"Media Storage / CMS / Magento Admin","Stockage des medias / CMS / Admin Magento"
"INCOMPLETE MODULE INSTALLATION","INSTALLATION INCOMPLÈTE DU MODULE"
"There is conflict (<em>%s</em>).","Il y a un conflit (<em lang=""en"">%s</em>)."
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
"[strong]Warning[/strong], no files were saved:","[strong]Attention[/strong], aucun fichier n'a été enregistré :"
"[strong]Warning[/strong], the following files were not saved:","[strong]Attention[/strong], les fichiers suivants n'ont pas été enregistrés :"
"[strong]Warning[/strong], the following file was not saved:","[strong]Attention[/strong], le fichier suivant n'a pas été enregistré :"
"[strong]However[/strong], the following files were successfully saved:","[strong]Cependant[/strong], les fichiers suivants ont bien été enregistrés :"
"[strong]However[/strong], the following file was successfully saved:","[strong]Cependant[/strong], le fichier suivant a bien été enregistré :"
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>.","<strong>Attention :</strong> votre navigateur <strong>%s %s</strong> n'est plus à jour, veuillez <a %s>mettre à jour votre navigateur</a>."
"Add one or multiple files","Ajouter un ou plusieurs fichiers"
"PHP manual","Manuel PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Il est important de noter que ce n'est pas parce que le courriel a été accepté pour livraison, qu'il arrivera à destination."
"Example %d","Exemple %d"
"Surprise!","Surprise !"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Vous regardez cette vidéo sans extension propriétaire grâce à la nouvelle balise [em]video[/em] intégrée dans le langage [strong]HTML 5[/strong]."
"Website: %s","Site internet : %s"
"You can use one of the following lines to test this module on the frontend:","Vous pouvez utiliser une des lignes suivantes pour tester ce module sur le front-office :"
"Directories size:","Taille des dossiers :"
"(without cache)","(sans le cache)"
"clear cache","vider le cache"
"Label and Sort order","Libellé et Ordre de tri"
"Save images","Sauvegarder les images"
"The added or deleted images are automatically saved.","Les images ajoutées ou supprimées sont automatiquement enregistrées."
"Maximum images width and height is %s x %s pixels.","La largeur et la hauteur maximale des images est de %s x %s pixels."
