"Dialogs boxes","Finestra di dialogo"
"Enable in backend","Attivare nel back-office"
"Enable in frontend","Attivare sul front-office"
"Check browser version","Verificare la versione del browser"
"Firefox 27+, Chrome 29+, Opera 17+, Edge 14+, Safari 9+ (checks even if the apijs is disabled).","Firefox 27+, Chrome 29+, Opera 17+, Edge 14+, Safari 9+ (verificare se l'apijs é disattivato)."
"Delete cached images","Eliminare le immagini in cache"
"When deleting a product image or a product.","Quando si elimina un'immagine o un prodotto."
"Automatically display the gallery tab","Mostra automaticamente la galleria"
"When displaying the modification page of a product in the backend.","Quando si visualizza la pagina di modifica di un prodotto nel back-office."
"Photo gallery","Galleria fotografica"
"Update on hover","Aggiornare in hovering"
"Main picture","Foto principale"
"Thumbnails","Miniatures"
"Media Storage / CMS / Magento Admin","Media Storage / CMS / Admin Magento"
"INCOMPLETE MODULE INSTALLATION","INSTALLAZIONE INCOMPLETA DEL MODULO"
"[strong]Warning[/strong], the following files were not saved:","[strong]Attenzione[/strong], i seguenti file non sono stati salvati:"
"[strong]However[/strong], the following files were successfully saved:","[strong]Ciò nonostante[/strong], i seguenti file sono stati salvati con successo:"
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>.","<strong>Attenzione:</strong> il vostro browser <strong>%s %s</strong> è obsoleto, vi preghiamo di <a %s>aggiornare il vostro browser</a>."
"Add one or multiple files","Aggiungere uno o più file"
"PHP manual","Manuale PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","È importante notare che il fatto che la mail sia stata accettata, non significa che arriverà a destinazione."
"Example %d","Esempio %d"
"Surprise!","Sorpresa!"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","State guardando questo video senza estensione proprietario grazie al nuovo tag [em]video[/em] integrato nel linguaggio [strong]HTML 5[/strong]."
"Website: %s","Sito internet: %s"
"You can use one of the following lines to test this module on the frontend:","Potete utilizzare una delle seguenti righe per provare questo modulo sul front-office:"
"Directories size:","Dimensione file:"
"(without cache)","(senza cache)"
"Label and Sort order","Etichetta et Ordine di smistamento"
"The added or deleted images are automatically saved.","Le foto aggiunte o eliminate sono automaticamente registrate."
