"Dialogs boxes","Dialogfelder"
"Enable in backend","Im Backend aktivieren"
"Enable in frontend","Für Frontend aktivieren"
"Check browser version","Browser Version überprüfen"
"Firefox 27+, Chrome 29+, Opera 17+, Edge 14+, Safari 9+ (checks even if the apijs is disabled).","Firefox 27+, Chrome 29+, Opera 17+, Edge 14+, Safari 9+ (überprüft ebenfalls ob apijs aktiviert ist)."
"Delete cached images","Die gespeicherten Bilder löschen"
"When deleting a product image or a product.","Als die Löschung von einem Bild oder eines Produktes erfolgt."
"Automatically display the gallery tab","Automatisch die Galerie Karteikarte anzeigen"
"When displaying the modification page of a product in the backend.","Bei der Anzeige der Bearbeitungsseite eines Produkts im Backend."
"Photo gallery","Fotogalerie"
"Update on hover","Update bei Hover"
"Main picture","Hauptfoto"
"Media Storage / CMS / Magento Admin","Medien Speicherung / CMS / Magento Administration"
"[strong]Warning[/strong], the following files were not saved:","[strong]Achtung[/strong], die folgenden Dateien wurden nicht gespeichert:"
"[strong]However[/strong], the following files were successfully saved:","[strong]Jedoch[/strong], wurden die folgenden Dateien erfolgreich gespeichert:"
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>.","<strong>Achtung:</strong> Ihr Browser <strong>%s %s</strong> ist veraltet. Bitte <a %s>laden Sie eine neue Version Ihres Browser runter</a>."
"Add one or multiple files","Eine oder mehrere Dateien hinzufügen"
"PHP manual","PHP-Handbuch"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Dass eine E-Mail für den Versand akzeptiert wurde, bedeutet nicht, dass sie auch wirklich den gewünschten Empfänger erreichen wird."
"Example %d","Beispiel %d"
"Surprise!","Überraschung!"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Sie sehen dieses Video ohne Erweiterung dank dem neuen [em]video[/em] Tag welches im Standard [strong]HTML 5[/strong] integriert ist."
"You can use one of the following lines to test this module on the frontend:","Sie können eine der folgenden Linien verwenden um dieses Modul im Frontend zu testen:"
"Directories size:","Größe des Ordners:"
"(without cache)","(ohne cache)"
"Label and Sort order","Beschriftung und Sortierreihenfolge"
"The added or deleted images are automatically saved.","Die hinzugefügten oder gelöschten Bilder werden automatisch gespeichert."
